"clave_original","bloque_original","disposición_final","resultado_documentado","evidencia_principal","destino_canónico","prioridad_final","desencadenante","delta_auditoria_2026_08_08","huella_inicial_sha256"
"BN-071","15.8","CONSERVADA_REFORMULADA","El uso más antiguo verificado aquí de missing link es Chambers 1844, página 69; la prioridad absoluta sigue sin demostrarse.","S480, primera edición transcrita.","BN-071 conserva solo prioridad absoluta.","P2","Fuente posterior al corte que satisfaga el blanco literal; vigilancia condicionada sin búsqueda intensiva en ausencia del desencadenante.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_CAMBIO_CANONICO","ebf0d3a95919be6889cdd33561f1107cf2d952b9e1cb331b2da8bd761c11a9ec"
"BN-072","15.8","RETIRADA_RESUELTA","Los protistas ambiregnales pueden tratarse bajo ICZN e ICN; no existe asignación universal a un solo código.","S482, FAQ oficial de ICZN.","Regla estructural integrada en C-1799.","RETIRADA","Solo reabrir si cambia la disposición histórica o aparece evidencia que invalida el cierre documentado.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_FILA_CANONICA_EN_AMBOS_CORTES","2b4920a9d3674cd4902e662a08033067a4f269a787aff08660dd82cdbfa8f0c3"
"BN-073","15.8","RETIRADA_FUERA_DE_ALCANCE","Una auditoría nomenclatural exhaustiva de todos los organismos excede el catálogo pedido.","C01-PROMPT-INVESTIGACION y alcance declarado.","Retirada; se auditan nombres efectivamente usados.","RETIRADA","Solo reabrir si cambia la disposición histórica o aparece evidencia que invalida el cierre documentado.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_FILA_CANONICA_EN_AMBOS_CORTES","32dc97794273348d0f81863b0d9e8fab9b8fb2c0881d01c068532d01d1e329f2"
"BN-074","15.8","RETIRADA_CONSULTA_MAL_FORMADA","El mismo artículo de Cavalier-Smith tiene dos DOI registrados, por lo que exigir un único DOI canónico borra una anomalía real.","Crossref: 10.1111/j.1469-185X.1998.tb00030.x y 10.1017/S0006323198005167.","La nota conserva ambos alias.","RETIRADA","Solo reabrir si cambia la disposición histórica o aparece evidencia que invalida el cierre documentado.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_FILA_CANONICA_EN_AMBOS_CORTES","18ea5e21cfad181cb44f362c7cc1b83f4a15bc65bb60e5143a42c1f1533705eb"
"BN-075","15.8","CONSERVADA_REFORMULADA","El uso filogenético más antiguo verificado aquí de a basal lineage es McDade 1990; la prioridad absoluta sigue abierta.","S481, resumen y página 1685.","BN-075 conserva solo prioridad absoluta.","P2","Fuente posterior al corte que satisfaga el blanco literal; vigilancia condicionada sin búsqueda intensiva en ausencia del desencadenante.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_CAMBIO_CANONICO","50bfd12888eecee44d09c37266d410e7423ed70585eecc9696a50735fffb3824"
"BN-076","15.8","RETIRADA_CONSULTA_MAL_FORMADA","Protista, protozoo, alga e invertebrado no son coextensivos y no admiten un único sinónimo formal de reemplazo.","Fuentes terminológicas y reemplazos específicos ya integrados.","Retirada; se conservan sustituciones por clado o función.","RETIRADA","Solo reabrir si cambia la disposición histórica o aparece evidencia que invalida el cierre documentado.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_FILA_CANONICA_EN_AMBOS_CORTES","690e369d905d06ea4f8b4f73180fdee709fec877af2b60d7adb9b2dc84bd8176"
"BN-077","15.9","RETIRADA_DUPLICADA_FUSIONADA","El coste de rosetas es un subcaso del presupuesto comparativo de rutas multicelulares.","Literatura de Salpingoeca cuantifica geometría e inducción, no ATP.","Fusionada como subcampo explícito en BN-083.","RETIRADA","Solo reabrir si cambia la disposición histórica o aparece evidencia que invalida el cierre documentado.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_FILA_CANONICA_EN_AMBOS_CORTES","191f224ec0fa570ca171bf18237e5333067f710f6dc4eb7e6994a0799f2fb676"
"BN-078","15.9","CONSERVADA_REFORMULADA","Mezclas de genotipos Capsaspora muestran integración de coYki nulo a 1:9, pero no evolución de tramposos ni castigo.","Phillips et al. 2022, 10.7554/eLife.77598, fig. 3A–D.","BN-078 conserva cheating y policing con resultado experimental adyacente.","P1","Nuevo protocolo o dataset comparable, o una síntesis causal pertinente.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_CAMBIO_CANONICO","c37f534a920db8f061dc87c4b77f659b490db53d77cdcc2d2cef03a96894a102"
"BN-079","15.9","CONSERVADA_REFORMULADA","Dos cepas de Ministeria co-agregan, pero el ensayo no mide explotación, parentesco, castigo o conflicto.","Li et al. 2026, 10.1038/s41586-026-10748-5, Extended Data fig. 10q.","BN-079 conserva cheating y policing.","P1","Nuevo protocolo o dataset comparable, o una síntesis causal pertinente.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_CAMBIO_CANONICO","de287f3472b428b5b40820cb09b9bbd871cb3fdc513fc33b24c31348c00dbd2b"
"BN-080","15.9","RETIRADA_RESUELTA","Ministeria 2022: 29,72 Mb, 12.151 genes, 3,67 intrones por gen y 133,34 bp por intrón; el estudio 2026 usa 12.127 antes de filtros.","S127, Extended Data figs. 2–3; S376 para versión 2026.","Métricas integradas con versión de anotación.","RETIRADA","Solo reabrir si cambia la disposición histórica o aparece evidencia que invalida el cierre documentado.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_FILA_CANONICA_EN_AMBOS_CORTES","e6340bb3ea157456df9369cf94941df004c8c935b1481ecf82520e7e45d63ec2"
"BN-081","15.9","RETIRADA_RESUELTA","Thecamonas: 26,68 Mb, 10.544 péptidos predichos, 1,04 intrones por gen y 442,67 bp por intrón.","S483, Burns et al. 2015, tabla 3.","Métricas integradas sin convertir péptidos en genes.","RETIRADA","Solo reabrir si cambia la disposición histórica o aparece evidencia que invalida el cierre documentado.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_FILA_CANONICA_EN_AMBOS_CORTES","d9e1a81877df49ca2320aba426517b773ce0ee0f6fff2387dabcd5ee14e2f6dd"
"BN-082","15.9","RETIRADA_DUPLICADA_FUSIONADA","El coste de matriz extracelular es otro término del presupuesto por ruta y no tiene cifra independiente.","Literatura funcional de ECM sin ATP comparable.","Fusionada como subcampo explícito en BN-083.","RETIRADA","Solo reabrir si cambia la disposición histórica o aparece evidencia que invalida el cierre documentado.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_FILA_CANONICA_EN_AMBOS_CORTES","d592dffa6ea105ee69a86ba3582584aa714492c9df1cdeae68d5ea9978767bf4"
"BN-083","15.9","CONSERVADA_REFORMULADA","No existe una comparación de rutas clonal, agregativa y cenocítica en una unidad energética común.","Las fuentes de rosetas, Capsaspora, Choanoeca y Sphaeroforma usan endpoints distintos. S549 modela flujo y disipación hidrodinámica; no mide ATP, oxígeno, calor ni coste de crecimiento.","BN-083 es la ficha maestra e incluye los objetos de BN-077, BN-082, BN-085 y BN-086.","P0","Nueva evidencia primaria que pueda resolver o reformular el blanco literal.","CORRECCION_EXPLICITA: evidencia_principal corregida; valor_inicial_sha256=a59de9b2312b3352086d09bb5af85adb7d98d2a2c886e9577ab48a731422bef3; se acotó la evidencia a la magnitud o clase de medición publicada; CAMBIO_CANONICO_DOCUMENTADO; campos=resultado y motivo; términos exactos utilizados; inicial_sha256=25cd0f726220940029804b51951e12146096b2fb9c814b2ffa67abe2e410d23c; final_sha256=bc5344939f2920e9feabf408f6dd43d22f229e9e38a50d14b76d3d09bea175ce","43630b4b10d5bdfd2b02bbe47bd298acaedf0006e0498aefc57f50f6b182a924"
"BN-084","15.9","RETIRADA_RESUELTA","Un inventario operacional clasifica 23 casos por no separación, 9 por compartimentación plasmodial, 12 agregativos y 1 por gemación; no es total universal.","Lamża 2023, 10.1111/brv.13001, tablas 1–2.","Conteo integrado como inventario con criterio, no como número absoluto.","RETIRADA","Solo reabrir si cambia la disposición histórica o aparece evidencia que invalida el cierre documentado.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_FILA_CANONICA_EN_AMBOS_CORTES","e4cc69f75ca0da04642cdc03afe932890b1e0d4601d680ecf546c7b0c927acd1"
"BN-085","15.9","RETIRADA_DUPLICADA_FUSIONADA","El coste de inversión y agregación de Choanoeca es un subcaso del presupuesto comparativo por ruta.","Ensayos publican salinidad, cinética y morfología, no ATP.","Fusionada como subcampo explícito en BN-083.","RETIRADA","Solo reabrir si cambia la disposición histórica o aparece evidencia que invalida el cierre documentado.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_FILA_CANONICA_EN_AMBOS_CORTES","2afd1cff03b37bd67c391c729a7cec7979591aae6c773cc7f8ce3a859834f6e3"
"BN-086","15.9","RETIRADA_DUPLICADA_FUSIONADA","El coste de celularización de Sphaeroforma es un subcaso cenocítico del presupuesto comparativo.","Actomiosina y relación núcleo-citoplasma no dan ATP por ciclo.","Fusionada como subcampo explícito en BN-083.","RETIRADA","Solo reabrir si cambia la disposición histórica o aparece evidencia que invalida el cierre documentado.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_FILA_CANONICA_EN_AMBOS_CORTES","90d82884d413e143b3e5ff464b873cbafe1d4d8602f89eb6ee2c2ecec766ea0b"
"BN-087","15.9","RETIRADA_RESUELTA","Salpingoeca rosetta tiene 7,44 intrones por gen bajo la definición de IntronDB.","S484, Záhonová et al. 2022; S485, Wang 2019.","Métrica y método integrados en C-1487 y tabla genómica.","RETIRADA","Solo reabrir si cambia la disposición histórica o aparece evidencia que invalida el cierre documentado.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_FILA_CANONICA_EN_AMBOS_CORTES","c2d79c84c6983e940f67a382c2f4c3bd9a2ea39f652c60e3566ba26261d10400"
"BN-088","15.9","RETIRADA_FUERA_DE_ALCANCE","La topología y repertorios internos de Metazoa están excluidos.","C01-PROMPT-INVESTIGACION, sección 1.","Retirada del denominador científico.","RETIRADA","Solo reabrir si cambia la disposición histórica o aparece evidencia que invalida el cierre documentado.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_FILA_CANONICA_EN_AMBOS_CORTES","2cb1a70022b9914dc8db5eeb89f60956ddec3363ae7fa9203c71d1e01d23fa37"
"BN-089","15.9","RETIRADA_REDUNDANTE","Las fuentes ya sostienen una transición temporal-a-espacial como hipótesis, no homologías uno a uno entre estadios de Capsaspora y tipos animales.","S441 y C-1523–C-1524.","Retirada porque el límite positivo ya estaba expresado.","RETIRADA","Solo reabrir si cambia la disposición histórica o aparece evidencia que invalida el cierre documentado.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_FILA_CANONICA_EN_AMBOS_CORTES","4e1002c059fe629b2c469f5ec2ecace22c7811bde1366aa7ac9a4eee22023a22"
"BN-090","15.9","CONSERVADA_REFORMULADA","Impedir el mantenimiento de agregados mediante disrupción física redujo la replicación de Ministeria; falta competencia prolongada, aptitud relativa y coeficiente de selección.","S376, fig. 6c y Extended Data fig. 10b–d. El P igual a 0,0017 corresponde a doble tinción en fig. 6f, no a la disrupción.","BN-090 conserva aptitud evolutiva prolongada y registra evidencia causal de corto plazo con confusores explícitos.","P0","Nueva evidencia primaria que pueda resolver o reformular el blanco literal.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_CAMBIO_CANONICO","1296ecbe473416f3919c5da604e1b6da97126b03936e3cdb6efba3cf5ae73371"
