"etiqueta preferida","tipo","sinónimos y grafías alternativas","marcas (⚠, ≈, †, [F], [H]) como atributos de la fila","# de la fila del registro donde aparece por primera vez"
"endosimbionte diatomeo terciario que conserva mitocondria","gen, proteína o sistema molecular","n/a","n/a","C-1206"
"34.242 bp y 34.742 bp","magnitud o conjunto de datos","n/a","n/a","C-1207"
"mitocondrias de endosimbiontes diatomeos de dinotomos","gen, proteína o sistema molecular","n/a","n/a","C-1207"
"58 genes y 59 genes","magnitud o conjunto de datos","n/a","n/a","C-1208"
"cambio limitado respecto de dinoflagelados y diatomeas de vida libre","gen, proteína o sistema molecular","n/a","n/a","C-1209"
"genomas mitocondriales de dinotomos","magnitud o conjunto de datos","n/a","n/a","C-1209"
"compartimentos celulares eucariotas conservados","gen, proteína o sistema molecular","n/a","n/a","C-1210"
"endosimbionte diatomeo de dinotomos","gen, proteína o sistema molecular","n/a","n/a","C-1210"
"9 genes candidatos en dinotomos y 90 en kareniáceos","magnitud o conjunto de datos","n/a","n/a","C-1211"
"EGT en dinoflagelados con plastos terciarios","concepto o entidad biológica","n/a","n/a","C-1211"
"dinotomos","gen, proteína o sistema molecular","n/a","n/a","C-1212"
"EGT terciaria masiva localizada","magnitud o conjunto de datos","n/a","n/a","C-1212"
"142.981 bp; 70 proteínas; 30 ARNt; 3 ARNr","magnitud o conjunto de datos","n/a","n/a","C-1213"
"plasto terciario de Karlodinium veneficum","taxón, organismo o linaje","n/a","n/a","C-1213"
"origen haptófito; número de adquisiciones sin resolver","gen, proteína o sistema molecular","n/a","n/a","C-1214"
"plasto terciario de Kareniaceae","taxón, organismo o linaje","n/a","n/a","C-1214"
"mínimo de 20 familias completas de elementos transponibles","concepto o entidad biológica","n/a","n/a","C-1215"
"Salpingoeca rosetta","taxón, organismo o linaje; concepto o entidad","n/a","n/a","C-1215"
"7 familias de ADN; 13 LTR; 2 candidatos no-LTR incompletos","concepto o entidad biológica","n/a","n/a","C-1216"
"elementos transponibles de Salpingoeca rosetta","taxón, organismo o linaje","n/a","n/a","C-1216"
"3 familias LTR y ausencia aparente de otros tipos","concepto o entidad biológica","n/a","n/a","C-1217"
"Monosiga brevicollis","taxón, organismo o linaje","n/a","n/a","C-1217"
"20 familias completas mínimas frente a 3 familias LTR detectadas","magnitud o conjunto de datos","n/a","n/a","C-1218"
"Salpingoeca rosetta y Monosiga brevicollis","taxón, organismo o linaje","n/a","n/a","C-1218"
"herencia doble uniparental en bivalvos","taxón, organismo o linaje","n/a","n/a","C-1219"
"herencia mitocondrial animal","magnitud o conjunto de datos","n/a","n/a","C-1219"
"dos linajes mitocondriales transmitidos por sexos distintos","orgánulo o compartimento","n/a","n/a","C-1220"
"herencia doble uniparental","concepto o entidad biológica","n/a","n/a","C-1220"
"herencia materna exclusiva","magnitud o conjunto de datos","n/a","n/a","C-1221"
"transmisión mitocondrial eucariota","orgánulo o compartimento","n/a","n/a","C-1221"
"elementos transponibles en genomas holozoos seleccionados","gen, proteína o sistema molecular","n/a","n/a","C-1222"
"aproximadamente 5–9% o menos de 2,5%, según especie","magnitud o conjunto de datos","n/a","n/a","C-1222"
"ATP equivalente de construcción u operación","magnitud, rasgo o concepto","n/a","n/a","C-1223"
"coste absoluto de rasgo","magnitud, rasgo o concepto","n/a","n/a","C-1223"
"coste absoluto dividido por presupuesto celular","magnitud, rasgo o concepto","n/a","n/a","C-1224"
"coste relativo de rasgo","magnitud, rasgo o concepto","n/a","n/a","C-1224"
"construcción frente a operación","concepto o entidad biológica","n/a","n/a","C-1225"
"coste de rasgo","magnitud, rasgo o concepto","n/a","n/a","C-1225"
"coste de oportunidad","magnitud, rasgo o concepto","n/a","n/a","C-1226"
"energía no obtenida por incorporar precursores a biomasa","magnitud, rasgo o concepto","n/a","n/a","C-1226"
"coste energético basal","magnitud, rasgo o concepto","n/a","n/a","C-1227"
"efecto neto de aptitud","magnitud, rasgo o concepto","n/a","n/a","C-1227"
"cifra absoluta de coste","magnitud, rasgo o concepto","n/a","n/a","C-1228"
"presupuesto energético celular","magnitud, rasgo o concepto","n/a","n/a","C-1228"
"coste de rasgo ancestral","magnitud, rasgo o concepto","n/a","n/a","C-1229"
"organismos actuales","concepto o entidad biológica","n/a","n/a","C-1229"
"balance neto cuantitativo ausente en la mayoría","magnitud, rasgo o concepto","n/a","n/a","C-1230"
"escenarios de origen de rasgos celulares","concepto o entidad biológica","n/a","n/a","C-1230"
"adición o sustitución","concepto o entidad biológica","n/a","n/a","C-1231"
"introducción de un rasgo","concepto o entidad biológica","n/a","n/a","C-1231"
"ATP invertido en un rasgo","magnitud, rasgo o concepto","n/a","n/a","C-1232"
"coeficiente de selección","magnitud, rasgo o concepto","n/a","n/a","C-1232"
"tabla de costes","magnitud, rasgo o concepto","n/a","n/a","C-1233"
"unidad y denominador originales","concepto o entidad biológica","n/a","n/a","C-1233"
"SIN CIFRA PUBLICADA LOCALIZADA","concepto o entidad biológica","n/a","n/a","C-1234"
"6.8 × 10^9 Vcell^0.54 ATP","magnitud, rasgo o concepto","n/a","n/a","C-1235"
"membrana de macronúcleo de ciliado","magnitud, rasgo o concepto","n/a","n/a","C-1235"
"1.5 × 10^9 Vcell^0.41 ATP","magnitud, rasgo o concepto","n/a","n/a","C-1236"
"membrana de micronúcleo de ciliado","magnitud, rasgo o concepto","n/a","n/a","C-1236"
"7.8 × 10^9 Vcell^0.48 ATP","magnitud, rasgo o concepto","n/a","n/a","C-1237"
"membrana nuclear de otros eucariotas","magnitud, rasgo o concepto","n/a","n/a","C-1237"
"2.5% y 0.032% del presupuesto celular","magnitud, rasgo o concepto","n/a","n/a","C-1238"
"núcleos de ciliado de 10^5 µm³","rasgo, orgánulo o proceso","n/a","n/a","C-1238"
"1.3 × 10^7 ATP","magnitud, rasgo o concepto","n/a","n/a","C-1239"
"complejo del poro nuclear de levadura","rasgo, orgánulo o proceso","n/a","n/a","C-1239"
"2.9 × 10^7 ATP","magnitud, rasgo o concepto","n/a","n/a","C-1240"
"complejo del poro nuclear de vertebrado","rasgo, orgánulo o proceso","n/a","n/a","C-1240"
"7.0 × 10^8 Vnuc^0.78 ATP","magnitud, rasgo o concepto","n/a","n/a","C-1241"
"conjunto de poros nucleares","rasgo, orgánulo o proceso","n/a","n/a","C-1241"
"núcleo ancestral completo","rasgo, orgánulo o proceso","n/a","n/a","C-1242"
"1.67 × 10^7 ATP","magnitud, rasgo o concepto","n/a","n/a","C-1243"
"vesícula de 50 nm en construcción","rasgo, orgánulo o proceso","n/a","n/a","C-1243"
"9.6 × 10^6 ATP","magnitud, rasgo o concepto","n/a","n/a","C-1244"
"vesícula de 50 nm citoplasmática","rasgo, orgánulo o proceso","n/a","n/a","C-1244"
"1.25 × 10^9 ATP µm^-2","magnitud, rasgo o concepto","n/a","n/a","C-1245"
"membrana de lípidos puros","magnitud, rasgo o concepto","n/a","n/a","C-1245"
"1.45 × 10^9 ATP µm^-2","magnitud, rasgo o concepto","n/a","n/a","C-1246"
"membrana con 40% de proteína por área","magnitud, rasgo o concepto","n/a","n/a","C-1246"
"1.1% del presupuesto celular","magnitud, rasgo o concepto","n/a","n/a","C-1247"
"retículo endoplasmático y Golgi de Ostreococcus tauri","rasgo, orgánulo o proceso","n/a","n/a","C-1247"
"retículo endoplasmático y Golgi de Saccharomyces cerevisiae","rasgo, orgánulo o proceso","n/a","n/a","C-1248"
"3.0% del presupuesto celular","magnitud, rasgo o concepto","n/a","n/a","C-1249"
"retículo endoplasmático y Golgi de Dunaliella salina","rasgo, orgánulo o proceso","n/a","n/a","C-1249"
"21% del presupuesto celular","magnitud, rasgo o concepto","n/a","n/a","C-1250"
"retículo endoplasmático y Golgi de célula pancreática de Sus scrofa","rasgo, orgánulo o proceso","n/a","n/a","C-1250"
"membranas internas eucariotas","magnitud, rasgo o concepto","n/a","n/a","C-1251"
"proporciones dependientes de especie y tipo celular","magnitud, rasgo o concepto","n/a","n/a","C-1251"
"sistema endomembranoso ancestral completo","concepto o entidad biológica","n/a","n/a","C-1252"
"modelo coste-beneficio de beneficio neto","magnitud, rasgo o concepto","n/a","n/a","C-1253"
"proto-retículo con translocasas Sec","rasgo, orgánulo o proceso","n/a","n/a","C-1253"
"pinocitosis de moléculas pequeñas modelada","concepto o entidad biológica","n/a","n/a","C-1254"
"sin mejora de aptitud bajo parámetros considerados","concepto o entidad biológica","n/a","n/a","C-1254"
"5.0 × 10^10 ATP","magnitud, rasgo o concepto","n/a","n/a","C-1255"
"microtúbulos corticales de Ochromonas idealizada","taxón u organismo","n/a","n/a","C-1255"
"0.1%; 1.4 × 10^9 ATP","magnitud, rasgo o concepto","n/a","n/a","C-1256"
"actina y tubulina de Saccharomyces cerevisiae","rasgo, orgánulo o proceso","n/a","n/a","C-1256"
"0.4%; 1.1 × 10^10 ATP","magnitud, rasgo o concepto","n/a","n/a","C-1257"
"actina y tubulina de Schizosaccharomyces pombe","rasgo, orgánulo o proceso","n/a","n/a","C-1257"
"5.7% del presupuesto celular","magnitud, rasgo o concepto","n/a","n/a","C-1258"
"actina y tubulina de fibroblastos de ratón","rasgo, orgánulo o proceso","n/a","n/a","C-1258"
"0.6% del presupuesto celular","magnitud, rasgo o concepto","n/a","n/a","C-1259"
"actina y tubulina de células HeLa","rasgo, orgánulo o proceso","n/a","n/a","C-1259"
"ciclo de nucleótido ATP durante polimerización","magnitud, rasgo o concepto","n/a","n/a","C-1260"
"ciclo de nucleótido GTP durante dinámica microtubular","concepto o entidad biológica","n/a","n/a","C-1261"
"coste celular total del citoesqueleto","magnitud, rasgo o concepto","n/a","n/a","C-1262"
"estequiometría de ATP o GTP por subunidad","magnitud, rasgo o concepto","n/a","n/a","C-1262"
"creatina quinasa B durante fagocitosis","rasgo, orgánulo o proceso","n/a","n/a","C-1263"
"suministro local de ATP","magnitud, rasgo o concepto","n/a","n/a","C-1263"
"73 ± 9% del control","concepto o entidad biológica","n/a","n/a","C-1264"
"formación de F-actina con CK-B inhibida","rasgo, orgánulo o proceso","n/a","n/a","C-1264"
"0.8 fmol célula^-1","concepto o entidad biológica","n/a","n/a","C-1265"
"contenido de ATP de neutrófilos durante fagocitosis","magnitud, rasgo o concepto","n/a","n/a","C-1265"
"contenido de ATP durante fagocitosis","magnitud, rasgo o concepto","n/a","n/a","C-1266"
"coste integrado por evento de ingestión","magnitud, rasgo o concepto","n/a","n/a","C-1266"
"fagocitosis en holozoos unicelulares","rasgo, orgánulo o proceso","n/a","n/a","C-1267"
"ATPasas PEX1 y PEX6","magnitud, rasgo o concepto","n/a","n/a","C-1268"
"maquinaria de importación peroxisomal","rasgo, orgánulo o proceso","n/a","n/a","C-1268"
"complejo Pex1/Pex6","concepto o entidad biológica","n/a","n/a","C-1269"
"desplegado procesivo dependiente de ATP","magnitud, rasgo o concepto","n/a","n/a","C-1269"
"peroxisoma completo","rasgo, orgánulo o proceso","n/a","n/a","C-1270"
"desensamblaje amplio de envoltura nuclear","concepto o entidad biológica","n/a","n/a","C-1271"
"mitosis abierta","rasgo, orgánulo o proceso","n/a","n/a","C-1271"
"retención de envoltura nuclear","concepto o entidad biológica","n/a","n/a","C-1272"
"mitosis semiabierta","rasgo, orgánulo o proceso","n/a","n/a","C-1273"
"permeabilización o desensamblaje parcial","concepto o entidad biológica","n/a","n/a","C-1273"
"estructura del ciclo vital","concepto o entidad biológica","n/a","n/a","C-1274"
"modo mitótico en holozoos muestreados","concepto o entidad biológica","n/a","n/a","C-1274"
"Corallochytrium limacisporum","taxón u organismo; organismo","n/a","n/a","C-940"
"mitosis de LECA","rasgo, orgánulo o proceso","n/a","n/a","C-1276"
"reconstrucción ancestral dependiente de método","concepto o entidad biológica","n/a","n/a","C-1276"
"coste de modos mitóticos","magnitud, rasgo o concepto","n/a","n/a","C-1277"
"1.9% del presupuesto celular","magnitud, rasgo o concepto","n/a","n/a","C-1278"
"membrana mitocondrial de Dunaliella salina","magnitud, rasgo o concepto","n/a","n/a","C-1278"
"4–17% del presupuesto celular","magnitud, rasgo o concepto","n/a","n/a","C-1279"
"membrana mitocondrial de ciliados","magnitud, rasgo o concepto","n/a","n/a","C-1279"
"6.7% del presupuesto celular","magnitud, rasgo o concepto","n/a","n/a","C-1280"
"membrana mitocondrial de célula pancreática de Sus scrofa","magnitud, rasgo o concepto","n/a","n/a","C-1280"
"7.9% del presupuesto celular","magnitud, rasgo o concepto","n/a","n/a","C-1281"
"membrana mitocondrial de Ostreococcus tauri","magnitud, rasgo o concepto","n/a","n/a","C-1281"
"3.0 Vcell^0.99","concepto o entidad biológica","n/a","n/a","C-1282"
"área de membrana mitocondrial","magnitud, rasgo o concepto","n/a","n/a","C-1282"
"coste de membrana mitocondrial","magnitud, rasgo o concepto","n/a","n/a","C-1283"
"coste total de mitocondria y fosforilación oxidativa","magnitud, rasgo o concepto","n/a","n/a","C-1283"
"mitocondria ancestral integrada","rasgo, orgánulo o proceso","n/a","n/a","C-1284"
"6.15 × 10^10 ATP célula^-1","magnitud, rasgo o concepto","n/a","n/a","C-1285"
"dos flagelos de Chlamydomonas","rasgo, orgánulo o proceso","n/a","n/a","C-1285"
"1.4% del presupuesto del ciclo","magnitud, rasgo o concepto","n/a","n/a","C-1286"
"flagelos de Chlamydomonas","rasgo, orgánulo o proceso","n/a","n/a","C-1286"
"9.7 × 10^5 ATP s^-1 flagelo^-1","magnitud, rasgo o concepto","n/a","n/a","C-1287"
"flagelo de Chlamydomonas en operación","rasgo, orgánulo o proceso","n/a","n/a","C-1287"
"1.2% del presupuesto del ciclo","magnitud, rasgo o concepto","n/a","n/a","C-1288"
"operación de flagelos de Chlamydomonas","rasgo, orgánulo o proceso","n/a","n/a","C-1288"
"2.6% del presupuesto del ciclo","magnitud, rasgo o concepto","n/a","n/a","C-1289"
"0.1–40% del presupuesto celular en la mayoría","magnitud, rasgo o concepto","n/a","n/a","C-1290"
"construcción de flagelos en 200 especies","rasgo, orgánulo o proceso","n/a","n/a","C-1290"
"ambiente, tamaño y velocidad","concepto o entidad biológica","n/a","n/a","C-1291"
"beneficio de flagelos","magnitud, rasgo o concepto","n/a","n/a","C-1291"
"adhesión mediada por integrinas","rasgo, orgánulo o proceso","n/a","n/a","C-1292"
"fortalecimiento aproximado de siete veces bajo 200 nN","concepto o entidad biológica","n/a","n/a","C-1292"
"200 nN en ensayo de adhesión","rasgo, orgánulo o proceso","n/a","n/a","C-1293"
"coste energético metabólico","magnitud, rasgo o concepto","n/a","n/a","C-1358"
"adhesión en coanoflagelados o filastereos","rasgo, orgánulo o proceso","n/a","n/a","C-1294"
"hidrólisis de GTP","concepto o entidad biológica","n/a","n/a","C-1295"
"señalización por proteínas G","rasgo, orgánulo o proceso","n/a","n/a","C-1295"
"sistemas de detección celular","concepto o entidad biológica","n/a","n/a","C-1296"
"tiempo, proteínas y energía","magnitud, rasgo o concepto","n/a","n/a","C-1296"
"oscilaciones de flujo de calor","magnitud, rasgo o concepto","n/a","n/a","C-1297"
"señalización del ciclo celular en embriones de pez cebra","magnitud, rasgo o concepto","n/a","n/a","C-1297"
"calorimetría de embriones de pez cebra","magnitud, rasgo o concepto","n/a","n/a","C-1298"
"coste de señalización en protista ancestral","magnitud, rasgo o concepto","n/a","n/a","C-1298"
"señalización celular del corredor","rasgo, orgánulo o proceso","n/a","n/a","C-1299"
"hipótesis de barrera energética mitocondrial","hipótesis o concepto","n/a","n/a","C-1300"
"Lane y Martin","magnitud, rasgo o concepto","n/a","n/a","C-1300"
"0.0005 fW gen^-1","concepto o entidad biológica","n/a","n/a","C-1301"
"bacteria ampliada hipotética de Lane y Martin","magnitud, rasgo o concepto","n/a","n/a","C-1301"
"energía por gen en bacteria ampliada hipotética","magnitud, rasgo o concepto","n/a","n/a","C-1302"
"reducción de 230000 veces","concepto o entidad biológica","n/a","n/a","C-1302"
"aproximadamente 200000 veces la procariótica","concepto o entidad biológica","n/a","n/a","C-1303"
"energía por gen eucariota según Lane y Martin","magnitud, rasgo o concepto","n/a","n/a","C-1303"
"10^5–10^6 veces","concepto o entidad biológica","n/a","n/a","C-1304"
"potencia por gen en hospedador mitocondrial según Lane y Martin","magnitud, rasgo o concepto","n/a","n/a","C-1304"
"energía por gen de Lane y Martin","magnitud, rasgo o concepto","n/a","n/a","C-1305"
"potencia total dividida por número de genes","magnitud, rasgo o concepto","n/a","n/a","C-1305"
"restricción procariota de repertorio expresado","concepto o entidad biológica","n/a","n/a","C-1306"
"respiración aerobia por sí sola","concepto o entidad biológica","n/a","n/a","C-1307"
"control local de membranas bioenergéticas","magnitud, rasgo o concepto","n/a","n/a","C-1308"
"genoma mitocondrial en hipótesis energética","hipótesis o concepto","n/a","n/a","C-1308"
"comparación de Lane y Martin","magnitud, rasgo o concepto","n/a","n/a","C-1309"
"potencia total por número de genes","magnitud, rasgo o concepto","n/a","n/a","C-1309"
"coste bioenergético de un gen","magnitud, rasgo o concepto","n/a","n/a","C-1310"
"replicación, transcripción y traducción","concepto o entidad biológica","n/a","n/a","C-1310"
"carga relativa media de un gen","concepto o entidad biológica","n/a","n/a","C-1311"
"disminución con tamaño celular","concepto o entidad biológica","n/a","n/a","C-1311"
"hipótesis de ausencia de barrera energética","hipótesis o concepto","n/a","n/a","C-1312"
"Lynch y Marinov","concepto o entidad biológica","n/a","n/a","C-1312"
"coste incremental de gen dividido por presupuesto celular","magnitud, rasgo o concepto","n/a","n/a","C-1313"
"posición de Lynch y Marinov","concepto o entidad biológica","n/a","n/a","C-1313"
"energía total por gen","magnitud, rasgo o concepto","n/a","n/a","C-1314"
"coste marginal de un gen","magnitud, rasgo o concepto","n/a","n/a","C-1315"
"controversia energética","magnitud, rasgo o concepto","n/a","n/a","C-1316"
"diferencia empírica y diferencia de denominador","concepto o entidad biológica","n/a","n/a","C-1316"
"80 valores auditados por Gerlitz y colaboradores","concepto o entidad biológica","n/a","n/a","C-1317"
"más de 50% no localizado en fuentes citadas","concepto o entidad biológica","n/a","n/a","C-1317"
"auditoría de procedencia de datos","concepto o entidad biológica","n/a","n/a","C-1318"
"causalidad energética de eucariogénesis","magnitud, rasgo o concepto","n/a","n/a","C-1318"
"análisis de membranas de Lynch y Marinov","magnitud, rasgo o concepto","n/a","n/a","C-1319"
"corrección formal de 2018","concepto o entidad biológica","n/a","n/a","C-1319"
"demanda y provisión energética celular","magnitud, rasgo o concepto","n/a","n/a","C-1320"
"escalamiento continuo dependiente de tamaño","concepto o entidad biológica","n/a","n/a","C-1320"
"expansión de membranas bioenergéticas y metabolismo","magnitud, rasgo o concepto","n/a","n/a","C-1321"
"mitocondrias en células grandes","rasgo, orgánulo o proceso","n/a","n/a","C-1321"
"barrera energética universal","hipótesis o concepto","n/a","n/a","C-1322"
"Chiyomaru y Takemoto","concepto o entidad biológica","n/a","n/a","C-1322"
"controversia de precondición energética mitocondrial","magnitud, rasgo o concepto","n/a","n/a","C-1323"
"sin consenso","concepto o entidad biológica","n/a","n/a","C-1323"
"genética de poblaciones","magnitud, rasgo o concepto","n/a","n/a","C-1324"
"hipótesis de barrera de deriva","hipótesis o concepto","n/a","n/a","C-1324"
"1/Ne","magnitud, rasgo o concepto","n/a","n/a","C-1325"
"efecto de aptitud","concepto o entidad biológica","n/a","n/a","C-1325"
"generalmente >10^8","magnitud, rasgo o concepto","n/a","n/a","C-1326"
"Ne de procariotas en Lynch y Conery","magnitud, rasgo o concepto","n/a","n/a","C-1326"
"10^7–10^8","concepto o entidad biológica","n/a","n/a","C-1327"
"Ne de eucariotas unicelulares en Lynch y Conery","magnitud, rasgo o concepto","n/a","n/a","C-1327"
"10^5–10^6","concepto o entidad biológica","n/a","n/a","C-1328"
"Ne de invertebrados en Lynch y Conery","magnitud, rasgo o concepto","n/a","n/a","C-1328"
"10^4–10^5","concepto o entidad biológica","n/a","n/a","C-1329"
"Ne de vertebrados en Lynch y Conery","magnitud, rasgo o concepto","n/a","n/a","C-1329"
"diversidad silenciosa y tasa mutacional asumida","concepto o entidad biológica","n/a","n/a","C-1330"
"estimaciones históricas de Ne","magnitud, rasgo o concepto","n/a","n/a","C-1330"
"4Neμ","magnitud, rasgo o concepto","n/a","n/a","C-1331"
"diversidad neutral diploide","magnitud, rasgo o concepto","n/a","n/a","C-1331"
"hipótesis de peligro mutacional","hipótesis o concepto","n/a","n/a","C-1332"
"Lynch y colaboradores","concepto o entidad biológica","n/a","n/a","C-1332"
"~7 × 10^7 y ~2 × 10^7","concepto o entidad biológica","n/a","n/a","C-1333"
"umbral crítico de Ne para elementos móviles","magnitud, rasgo o concepto","n/a","n/a","C-1333"
"beneficio adaptativo de toda expansión genómica","magnitud, rasgo o concepto","n/a","n/a","C-1334"
"diversidad nucleotídica y tasas de mutación directas","concepto o entidad biológica","n/a","n/a","C-1335"
"Ne en 120 eucariotas","magnitud, rasgo o concepto","n/a","n/a","C-1335"
"casi cuatro órdenes de magnitud","magnitud, rasgo o concepto","n/a","n/a","C-1336"
"Ne de 120 eucariotas","magnitud, rasgo o concepto","n/a","n/a","C-1336"
"ausencia de asociación con Ne pequeño en S322","magnitud, rasgo o concepto","n/a","n/a","C-1337"
"tamaño genómico eucariota","concepto o entidad biológica","n/a","n/a","C-1337"
"807 especies","concepto o entidad biológica","n/a","n/a","C-1338"
"prueba animal de peligro mutacional","hipótesis o concepto","n/a","n/a","C-1338"
"hipótesis de peligro mutacional en animales","hipótesis o concepto","n/a","n/a","C-1339"
"Marino y colaboradores","concepto o entidad biológica","n/a","n/a","C-1339"
"relación global Ne-complejidad genómica","magnitud, rasgo o concepto","n/a","n/a","C-1340"
"S322 y S323","concepto o entidad biológica","n/a","n/a","C-1340"
"distribución amplia sin valor único","concepto o entidad biológica","n/a","n/a","C-1341"
"Ne por gran categoría biológica","magnitud, rasgo o concepto","n/a","n/a","C-1341"
"flagelo","rasgo, orgánulo o proceso; concepto o entidad terminológica","n/a","n/a","C-1342"
"mayor adquisición de recursos por natación","concepto o entidad biológica","n/a","n/a","C-1342"
"beneficio funcional observado y balance neto no localizado","magnitud, rasgo o concepto","n/a","n/a","C-1343"
"origen adaptativo por complejidad genómica","concepto o entidad biológica","n/a","n/a","C-1344"
"adhesión celular","rasgo, orgánulo o proceso","n/a","n/a","C-1345"
"beneficio mecánico y balance energético no localizado","magnitud, rasgo o concepto","n/a","n/a","C-1345"
"componentes genómicos no codificantes","magnitud, rasgo o concepto","n/a","n/a","C-1346"
"posibles productos de procesos no adaptativos","concepto o entidad biológica","n/a","n/a","C-1346"
"duplicación génica","concepto o entidad biológica","n/a","n/a","C-1347"
"fijación inicial no adaptativa seguida de cooptación","concepto o entidad biológica","n/a","n/a","C-1347"
"4.68 × 10^-5 del presupuesto celular","magnitud, rasgo o concepto","n/a","n/a","C-1348"
"duplicación del gen mediano de Saccharomyces cerevisiae","taxón u organismo","n/a","n/a","C-1348"
">10% ARNm; >2% proteína","concepto o entidad biológica","n/a","n/a","C-1349"
"cambio de expresión de gen mediano en Saccharomyces cerevisiae","taxón u organismo","n/a","n/a","C-1349"
"adaptación de todas las etapas históricas","concepto o entidad biológica","n/a","n/a","C-1350"
"beneficio actual de un rasgo","magnitud, rasgo o concepto","n/a","n/a","C-1350"
"fijación por deriva","concepto o entidad biológica","n/a","n/a","C-1351"
"neutralidad universal","magnitud, rasgo o concepto","n/a","n/a","C-1351"
"relación coste energético-aptitud","magnitud, rasgo o concepto","n/a","n/a","C-1352"
"intermedios de rasgos celulares","concepto o entidad biológica","n/a","n/a","C-1353"
"tamaños mutacionales fenotípicos poco conocidos","concepto o entidad biológica","n/a","n/a","C-1353"
"presupuesto integrado de rasgos en un protista","magnitud, rasgo o concepto","n/a","n/a","C-1354"
"porcentajes y cifras de la tabla de costes","magnitud, rasgo o concepto","n/a","n/a","C-1355"
"suma directa sin normalización","concepto o entidad biológica","n/a","n/a","C-1355"
"presupuesto energético de FECA o LECA","magnitud, rasgo o concepto","n/a","n/a","C-1356"
"datos, extrapolación y denominador","concepto o entidad biológica","n/a","n/a","C-1357"
"meiosis ni sexo","concepto o entidad","n/a","n/a","C-1360"
"recombinación genética","concepto o entidad","n/a","n/a","C-1360"
"ciclo sexual completo","concepto o entidad","n/a","n/a","C-1361"
"fusión celular, fusión nuclear y recombinación/reducción","concepto o entidad","n/a","n/a","C-1362"
"sexo eucariota","concepto o entidad","n/a","n/a","C-1362"
"fusión citoplasmática y nuclear","concepto o entidad","n/a","n/a","C-1363"
"plasmogamia y cariogamia","concepto o entidad","n/a","n/a","C-1363"
"fusión de gametos o células sexuales","concepto o entidad","n/a","n/a","C-1364"
"singamia","concepto o entidad","n/a","n/a","C-1364"
"anisogamia ni sexo masculino/femenino","concepto o entidad","n/a","n/a","C-1365"
"tipo de apareamiento","concepto o entidad","n/a","n/a","C-1365"
"ciclo haplonte","concepto o entidad","n/a","n/a","C-1366"
"crecimiento haploide y diploidía cigótica","concepto o entidad","n/a","n/a","C-1366"
"ciclo diplonte","concepto o entidad","n/a","n/a","C-1367"
"crecimiento diploide y haploidía derivada por meiosis","concepto o entidad","n/a","n/a","C-1367"
"ciclo haplodiplonte","concepto o entidad","n/a","n/a","C-1368"
"fases multicelulares o proliferativas de ambas ploidías","concepto o entidad","n/a","n/a","C-1368"
"meiosis canónica","concepto o entidad","n/a","n/a","C-1369"
"parasexualidad","concepto o entidad","n/a","n/a","C-1369"
"inicio de roturas de doble cadena meióticas","concepto o entidad","n/a","n/a","C-1370"
"SPO11","gen","Spo11","n/a","C-1370"
"DMC1","gen","Dmc1","n/a","C-1371"
"intercambio de cadenas entre homólogos","concepto o entidad","n/a","n/a","C-1371"
"RecA","gen/proteína","RecA recombinase","n/a","C-1371"
"estabilización de intermediarios de crossover","concepto o entidad","n/a","n/a","C-1372"
"MSH4–MSH5","complejo génico/proteico","Msh4/Msh5","n/a","C-1372"
"HOP1","gen","Hop1","n/a","C-1373"
"organización cromosómica meiótica","concepto o entidad","n/a","n/a","C-1373"
"MND1–HOP2","complejo génico/proteico","Mnd1/Hop2","n/a","C-1374"
"recombinación homóloga meiótica","concepto o entidad","n/a","n/a","C-1374"
"cohesión y segregación meiótica","concepto o entidad","n/a","n/a","C-1375"
"REC8","gen","Rec8","n/a","C-1375"
"cinco genes considerados específicos de meiosis","concepto o entidad","n/a","n/a","C-1376"
"*Giardia intestinalis*","taxón","Giardia lamblia; Giardia duodenalis","n/a","C-1376"
"27 de 29 genes meióticos examinados","concepto o entidad","n/a","n/a","C-1377"
"Trichomonas vaginalis","concepto o entidad","n/a","n/a","C-1377"
"*Trichomonas vaginalis*","taxón","Trichomonas vaginalis","n/a","C-1377"
"ocho de nueve genes específicos de meiosis examinados","concepto o entidad","n/a","n/a","C-1378"
"meiosis observada","concepto o entidad","n/a","n/a","C-1379"
"18 genes meióticos conservados","concepto o entidad","n/a","n/a","C-1380"
"evidencia de sexo en coanoflagelados","concepto o entidad","n/a","n/a","C-1381"
"inventario genómico antes de observación del ciclo","concepto o entidad","n/a","n/a","C-1381"
"Capsaspora owczarzaki","concepto o entidad","n/a","n/a","C-1382"
"repertorio genómico asociado con sexo y meiosis","concepto o entidad","n/a","n/a","C-1382"
"NO LOCALIZADO EN ESTA SESIÓN","concepto o entidad","n/a","n/a","C-1383"
"genes meióticos en linajes con sexo críptico o no observado","concepto o entidad","n/a","n/a","C-1384"
"función exclusivamente meiótica","concepto o entidad","n/a","n/a","C-1385"
"homólogo de gen meiótico","concepto o entidad","n/a","n/a","C-1385"
"ausencia de meiosis","concepto o entidad","n/a","n/a","C-1386"
"ausencia de un gen meiótico","concepto o entidad","n/a","n/a","C-1386"
"LECA","población reconstruida","Last Eukaryotic Common Ancestor","n/a","C-1387"
"meiosis o programa meiótico ancestral","concepto o entidad","n/a","n/a","C-1387"
