"magnitud","valor tal como lo publica la fuente","unidad original","organismo, nodo o intervalo al que se aplica","método o proxy","incertidumbre publicada","observado o inferido","fuente con localizador","#"
"concentración de EroS en ensayos de señales combinadas","0.2–1","μg/ml","Salpingoeca rosetta","adición de proteína purificada","aproximadamente 2–8 nM","observado","S351 métodos","C-1455"
"concentración molar aproximada de EroS","aproximadamente 2–8","nM","Salpingoeca rosetta","conversión publicada por los autores","aproximada","observado","S351 métodos","C-1455"
"actividad de EroS","0.05","U/ml","Salpingoeca rosetta","actividad enzimática añadida","no consta en la fuente","observado","S351 métodos","C-1456"
"células con doble tinción bajo agregación","aproximadamente 10","% de células teñidas","Ministeria vibrans","mezcla de poblaciones con tintes de membrana y microscopía","media ± s.e.m.; triplicado biológico","observado","S376 fig. 6f","C-1472"
"células con doble tinción sin agregación","menos de 2","% de células teñidas","Ministeria vibrans","mezcla de poblaciones con tintes de membrana y microscopía","media ± s.e.m.; triplicado biológico","observado","S376 fig. 6f","C-1472"
"significación de diferencia en doble tinción","0.0017","P","Ministeria vibrans","prueba t bilateral no pareada con corrección de Welch","no consta intervalo","observado","S376 fig. 6f","C-1472"
"células revisadas para detectar fusión","aproximadamente 216","células","Ministeria vibrans","videomicroscopía en borde de agregados","aproximado","observado","S376 texto de resultados","C-1473"
"duración de seguimiento por célula","aproximadamente 2.7","horas por célula","Ministeria vibrans","videomicroscopía","aproximado","observado","S376 texto de resultados","C-1473"
"fusiones claras observadas en el seguimiento","1","evento","Ministeria vibrans","videomicroscopía","en aproximadamente 216 células observadas","observado","S376 fig. 6g; Supplementary Video 5","C-1473"
"edición vigente del Madrid Code","18","edición","ICN","identificación editorial","n/a","observado","S379 metadatos bibliográficos; portada y prefacio","C-1694"
"versión publicada de PhyloCode","6","versión","PhyloCode","identificación editorial","n/a","observado","S381 metadatos bibliográficos; portada y prefacio","C-1703"
"registro de Eukarya en Phylonyms","42","número de registro","Eukarya","RegNum/Phylonyms","n/a","observado","S383 registro Phylonyms, entrada Eukarya, Registration 42","C-1712"
"registro de Amorphea en Phylonyms","8","número de registro","Amorphea","RegNum/Phylonyms","n/a","observado","S383 registro Phylonyms, entrada Amorphea, Registration 8","C-1713"
"registro de Opisthokonta en Phylonyms","72","número de registro","Opisthokonta","RegNum/Phylonyms","n/a","observado","S383 registro Phylonyms, entrada Opisthokonta, Registration 72","C-1714"
"reinos ocupados por algas en Guiry 2024","4","reinos","algas de AlgaeBase","clasificación de base","dependiente de la clasificación adoptada","observado","S390 título; resumen","C-1789"
"filos ocupados por algas en Guiry 2024","14","filos","algas de AlgaeBase","clasificación de base","dependiente de la clasificación adoptada","observado","S390 título; resumen","C-1789"
"clases ocupadas por algas en Guiry 2024","63","clases","algas de AlgaeBase","clasificación de base","dependiente de la clasificación adoptada","observado","S390 título; resumen","C-1789"
"especies vivientes de algas en AlgaeBase al 1-11-2023","50.589","especies","AlgaeBase","recuento de base de datos","dependiente de versión","observado","S390 resumen","C-1790"
"especies fósiles de algas en AlgaeBase al 1-11-2023","10.556","especies","AlgaeBase","recuento de base de datos","dependiente de versión","observado","S390 resumen","C-1790"
"proteínas en Hampl et al. 2009","143","proteínas","análisis de Excavata","matriz filogenómica","n/a","observado","S400 Methods","C-1823"
"taxones en Hampl et al. 2009","48","taxones","análisis de Excavata","muestreo taxonómico","n/a","observado","S400 Methods","C-1823"
"reinos en Whittaker 1969","5","reinos","sistema de Whittaker","clasificación propuesta","n/a","observado","S387 título y esquema","C-1810"
"reinos en Cavalier-Smith 1998","6","reinos","sistema de Cavalier-Smith","clasificación propuesta","n/a","observado","S389 título y resumen","C-1811"
"reinos en Ruggiero et al. 2015","7","reinos","sistema de Ruggiero et al.","clasificación propuesta","n/a","observado","S388 resumen y tabla de clasificación","C-1812"
"intervalo de división clonal","aproximadamente 8–10","h","Choanoeca flexa","videomicroscopía","no consta como error formal","observado","S424 fig. 1f","C-1498"
"tiempo de maduración de lámina","dentro de 24","h","Choanoeca flexa","videomicroscopía","n/a","observado","S424 fig. 2","C-1500"
"tamaño medio del agregado a 24 h","alrededor de 50","células","Choanoeca flexa","recuento","desviación mostrada en figura; no transcrita aquí","observado","S424 fig. 2g","C-1501"
"máximo observado aproximado a 24 h","aproximadamente 120","células","Choanoeca flexa","recuento","n/a","observado","S424 fig. 2g","C-1501"
"aphidicolina en ensayo de agregación","17","µg ml−1","Choanoeca flexa","inhibición del ciclo celular","n/a","observado","S424 fig. 2i","C-1502"
"salinidad máxima con láminas activas observadas","94","ppt","Choanoeca flexa en campo","muestreo de pozas","límite observacional, no fisiológico universal","observado","S424 fig. 3e","C-1503"
"salinidad de pozas con láminas","62.1 ± 24.8","ppt","Choanoeca flexa","muestreo de campo","media ± dispersión publicada","observado","S424 resultados","C-1504"
"salinidad de pozas sin láminas","146.3 ± 95.7","ppt","Choanoeca flexa","muestreo de campo","media ± dispersión publicada","observado","S424 resultados","C-1504"
"significación de diferencia de salinidad","1.7 × 10−6","P","pozas con y sin Choanoeca flexa","Mann–Whitney U","n/a","inferido","S424 resultados","C-1504"
"duración de evaporación","4","días","Choanoeca flexa","evaporación experimental","n/a","observado","S424 fig. 4","C-1505"
"duración de ciclo nuclear","aproximadamente 11–12","h","Sphaeroforma arctica","microscopía temporal","n/a","observado","S207 resultados","C-1508"
"máximo de núcleos precelularización","128","núcleos","Sphaeroforma arctica","recuento","n/a","observado","S208 fig. 1","C-1510"
"tamaño genómico","aproximadamente 45","Mb","Creolimax fragrantissima","ensamblaje","n/a","observado","S209 tabla 1","C-1516"
"número de scaffolds","82","scaffolds","Creolimax fragrantissima","ensamblaje","n/a","observado","S209 tabla 1","C-1516"
"genes predichos","8,695","genes","Creolimax fragrantissima","anotación","n/a","observado","S209 tabla 1","C-1517"
"intrones por gen","6.5","intrones por gen","Creolimax fragrantissima","anotación","n/a","observado","S209 tabla 1","C-1517"
"tamaño genómico","24.1","Mb","Corallochytrium limacisporum","ensamblaje","n/a","observado","S434 tabla de genomas y datos fuente","C-1521"
"genes predichos","7,535","genes","Corallochytrium limacisporum","anotación","n/a","observado","S434 tabla de genomas y datos fuente","C-1521"
"densidad de intrones","0.0","intrones por kbp de CDS","Corallochytrium limacisporum","anotación y reconstrucción","dependiente de la anotación","observado","S434 fig. 5","C-1522"
"abundancia de Thalassospira","63","% de amplicones bacterianos únicos","cultivo xenico de Ministeria vibrans","16S rDNA","n/a","observado","S376 Extended Data fig. 2","C-1531"
"tiempo a agregados de decenas de células","24","h","Ministeria vibrans","microscopía temporal","n/a","observado","S376 fig. 3","C-1532"
"transferencias hasta fenotipo snowflake","≤60","transferencias diarias","Saccharomyces cerevisiae","evolución experimental","todas las poblaciones replicadas","observado","S432 resultados","C-1547"
"ventaja de aptitud","34","%","levadura snowflake","competencia bajo sedimentación","condición específica","observado","S432 resultados","C-1549"
"rondas de selección","600","rondas","levadura snowflake anaerobia","evolución experimental","cinco poblaciones","observado","S433 fig. 1","C-1551"
"aumento de tamaño","aproximadamente 2 × 10^4","veces","levadura snowflake anaerobia","comparación con ancestro","n/a","observado","S433 resumen","C-1552"
"aumento de tenacidad","aproximadamente 10^4","veces","levadura snowflake anaerobia","medición mecánica","n/a","observado","S433 resumen","C-1553"
"aumento de tamaño bajo competencia por oxígeno","aproximadamente 6","veces","levadura snowflake","comparación con ancestro","n/a","observado","S433 resumen","C-1555"
"tamaño genómico","aproximadamente 41.6","Mb","Monosiga brevicollis","ensamblaje","n/a","observado","S147 §Gene structure","C-1557"
"genes predichos","aproximadamente 9,200","genes","Monosiga brevicollis","anotación","n/a","observado","S147 §Gene structure","C-1557"
"intrones por gen","6.6","intrones por gen","Monosiga brevicollis","anotación","n/a","observado","S147 tabla 1","C-1558"
"longitud media de intrón","174","bp","Monosiga brevicollis","anotación","n/a","observado","S147 tabla 1","C-1558"
"tamaño genómico","aproximadamente 55","Mb","Salpingoeca rosetta","ensamblaje","n/a","observado","S205 tabla 1","C-1559"
"scaffolds","154","scaffolds","Salpingoeca rosetta","ensamblaje","n/a","observado","S205 tabla 1","C-1559"
"N50","1.52","Mb","Salpingoeca rosetta","ensamblaje","n/a","observado","S205 tabla 1","C-1559"
"genes predichos","11,629","genes","Salpingoeca rosetta","anotación","n/a","observado","S205 tabla 1","C-1559"
"modelos con apoyo transcriptómico","98","%","Salpingoeca rosetta","RNA-seq","n/a","observado","S205 métodos","C-1559"
"tamaño genómico","28","Mb","Capsaspora owczarzaki","ensamblaje","n/a","observado","S352 tabla 1","C-1561"
"scaffolds","84","scaffolds","Capsaspora owczarzaki","ensamblaje","n/a","observado","S352 tabla 1","C-1561"
"genes codificantes","8,657","genes","Capsaspora owczarzaki","anotación","n/a","observado","S352 tabla 1","C-1561"
"intrones por gen","3.8","intrones por gen","Capsaspora owczarzaki","anotación","n/a","observado","S352 tabla 1","C-1562"
"longitud media de intrón","166","bp","Capsaspora owczarzaki","anotación","n/a","observado","S352 tabla 1","C-1562"
"genes anotados antes de filtros","12,127","genes","Ministeria vibrans","anotación usada por el estudio","dependiente de versión","observado","S376 métodos","C-1563"
"promedio de intrones","7.44","intrones por gen","Salpingoeca rosetta","IntronDB; transcrito codificante más largo por gen; intrones ≥10 bp","dependiente de la anotación de Ensembl utilizada por IntronDB","observado","S484 resultados; S485 métodos","C-1560"
"tamaño genómico","29.72","Mb","Ministeria vibrans","ensamblaje publicado en 2022","dependiente de versión","observado","S127 Extended Data fig. 2","C-1564"
"genes predichos","12,151","genes","Ministeria vibrans","anotación publicada en 2022","dependiente de versión; no equivale a los 12,127 antes de filtros de 2026","observado","S127 Extended Data fig. 2","C-1564"
"promedio de intrones","3.67","intrones por gen","Ministeria vibrans","anotación publicada en 2022","dependiente de versión","observado","S127 Extended Data fig. 3","C-1564"
"longitud media de intrón","133.34","bp","Ministeria vibrans","anotación publicada en 2022","dependiente de versión","observado","S127 Extended Data fig. 3","C-1564"
"tamaño genómico","26.68","Mb","Thecamonas trahens","tabla comparativa publicada en 2015","dependiente de versión","observado","S483 tabla 3","C-1568"
"péptidos predichos","10,544","péptidos","Thecamonas trahens","tabla comparativa publicada en 2015","dependiente de anotación","observado","S483 tabla 3","C-1568"
"promedio de intrones","1.04","intrones por gen","Thecamonas trahens","tabla comparativa publicada en 2015","dependiente de anotación","observado","S483 tabla 3","C-1568"
"longitud media de intrón","442.67","bp","Thecamonas trahens","tabla comparativa publicada en 2015","dependiente de anotación","observado","S483 tabla 3","C-1568"
"tamaño genómico de ensamblaje","121.6","Mb","Sphaeroforma arctica JP610","ensamblaje GCF_001186125.1","n/a","observado","S446 registro NCBI Datasets, Assembly statistics","C-1565"
"genes con dominios de cadherina","23","genes","Monosiga brevicollis","anotación de dominios","n/a","observado","S147 §Cadherins","C-1569"
"genes con dominio de integrina alfa","17","genes","Monosiga brevicollis","anotación de dominios","n/a","observado","S147 §Integrin-related domains","C-1570"
"genes con dominios de colágeno","5","genes","Monosiga brevicollis","anotación de dominios","n/a","observado","S147 §ECM","C-1571"
"proteínas con repeticiones Gly-X-Y extensas","2","proteínas","Monosiga brevicollis","anotación de motivos","n/a","observado","S147 §ECM","C-1571"
"tirosina quinasas","aproximadamente 120","proteínas","Monosiga brevicollis","anotación de dominios","n/a","observado","S147 §Tyrosine kinase signaling","C-1577"
"tirosina fosfatasas","aproximadamente 30","proteínas","Monosiga brevicollis","anotación de dominios","n/a","observado","S147 §Tyrosine kinase signaling","C-1577"
"proteínas con SH2","aproximadamente 80","proteínas","Monosiga brevicollis","anotación de dominios","n/a","observado","S147 §Tyrosine kinase signaling","C-1577"
"dominios clasificados como innovaciones del tallo metazoano","235","dominios","tallo de Metazoa en Suga et al. 2013","Dollo parsimony","dependiente de muestreo","inferido","S352 fig. 2","C-1583"
"genes Runx","2","genes","Capsaspora owczarzaki","anotación y filogenia","n/a","observado","S437 §Runx","C-1584"
"genes T-box","3","genes","Capsaspora owczarzaki","anotación y filogenia","n/a","observado","S437 §T-box","C-1585"
"bootstrap de clasificación inicial de Co-Bra","50","% bootstrap","T-box de Capsaspora","filogenia","soporte bajo","inferido","S437 fig. 2","C-1586"
"genes diferencialmente expresados","4,884","genes","Ministeria vibrans durante agregación","RNA-seq","dependiente de umbrales","observado","S376 resultados","C-1598"
"homólogos relacionados con multicelularidad","521","genes","Ministeria vibrans","clasificación funcional","categorías amplias","observado","S376 fig. 5","C-1599"
"homólogos de adhesión","68","genes","Ministeria vibrans","clasificación funcional","n/a","observado","S376 fig. 5","C-1599"
"homólogos de señalización","400","genes","Ministeria vibrans","clasificación funcional","n/a","observado","S376 fig. 5","C-1599"
"factores de transcripción","53","genes","Ministeria vibrans","clasificación funcional","n/a","observado","S376 fig. 5","C-1599"
"homólogos con cambio significativo","332","genes","Ministeria vibrans","RNA-seq","dependiente de umbral","observado","S376 fig. 5","C-1600"
"masa mínima de la fracción sérica o lipoproteica inductora","superior a 30","kDa","fracción inductora de agregación de Capsaspora owczarzaki","fraccionamiento por masa molecular","n/a","observado","S427 resultados","C-1526"
"transcriptomas choanoflagelados adicionales muestreados","19","transcriptomas","análisis comparativo de Richter et al.","secuenciación y anotación transcriptómica","detección dependiente de expresión y completitud","observado","S435 resumen; métodos","C-1580"
"tiempo de duplicación poblacional","poco menos de 4","h","Dictyostelium discoideum NC4","crecimiento a 22 °C en SorMC con Klebsiella","condición de cepa y cultivo","observado","S447 §Growth of wild type cells; fig. 1B","C-1617"
"orden relativo de crecimiento NC4 frente a AX2","aproximadamente dos veces más rápido","razón relativa","Dictyostelium discoideum","NC4 con bacterias frente a AX2 en HL5 axénico","cambian cepa y medio","observado","S447 fig. 1B","C-1618"
"tasa de mutación nuclear","2.9 × 10^-11","mutaciones por sitio y generación celular","Dictyostelium discoideum","acumulación de mutaciones y secuenciación","Poisson 7.4 × 10^-13–1.6 × 10^-10","inferido","S448 resumen; §Nuclear mutations","C-1621–C-1622"
"tasa de mutación mitocondrial","6.76 × 10^-9","mutaciones por nucleótido y generación","Dictyostelium discoideum","acumulación de mutaciones; 19 eventos","Poisson 4.1 × 10^-9–9.5 × 10^-9","inferido","S448 resumen; §Mitochondrial mutations","C-1623"
"tasa germinal de sustitución de bases","1.94 × 10^-11","sustituciones por sitio y división celular","Paramecium tetraurelia","acumulación de mutaciones y secuenciación","SE 0.36 × 10^-11","inferido","S449 Results; tabla 1","C-1624"
"tasa germinal de sustitución de bases","7.61 × 10^-12","sustituciones por sitio y división asexual","Tetrahymena thermophila","acumulación de mutaciones; 5 eventos validados","IC 95% 0.691–14.53 × 10^-12 por método estándar; 4.68–12.38 × 10^-12 con transformación logarítmica","inferido","S450 §Mutation Rate","C-1625; C-1674"
"tasa de sustitución de bases","aproximadamente 2.2 × 10^-10","sustituciones por nucleótido y generación","Escherichia coli silvestre","acumulación de mutaciones y secuenciación","según tabla del estudio","inferido","S451 Results; tabla 1","C-1626"
"tasa de mutación por genoma","aproximadamente 1 × 10^-3","mutaciones por genoma y generación","Escherichia coli silvestre","acumulación de mutaciones y secuenciación","denominador por genoma","inferido","S451 resumen; Results","C-1627"
"tasa de sustitución de bases","1.22 × 10^-10","sustituciones por sitio y generación","Acidobacterium capsulatum","69 líneas; ~2.900 divisiones; 30 °C; aerobio; medio ATCC 1168","IC 95% 0.98–1.51 × 10^-10","inferido","S452 resumen; Results","C-1628; C-1675"
"tasa de inserción-deleción","0.43 × 10^-10","indels por sitio y generación","Acidobacterium capsulatum","69 líneas; ~2.900 divisiones; 30 °C; aerobio; medio ATCC 1168","n/a","inferido","S452 resumen","C-1629; C-1675"
"duración del inicio de OAE2","aproximadamente 70","kyr","núcleo SN°4, cuenca de Tarfaya","cicloestratigrafía de NGR y δ13Corg","puntos de cambio dependientes de definición","inferido","S459 resumen; §3.5","C-1631"
"duración del pico de OAE2","aproximadamente 90","kyr","núcleo SN°4, cuenca de Tarfaya","cicloestratigrafía de NGR y δ13Corg","puntos de cambio dependientes de definición","inferido","S459 resumen; §3.5","C-1631"
"duración de la meseta de OAE2","aproximadamente 200","kyr","núcleo SN°4, cuenca de Tarfaya","cicloestratigrafía de NGR y δ13Corg","otros registros dan límites distintos","inferido","S459 resumen; §3.5","C-1631"
"duración de la recuperación de OAE2","aproximadamente 440","kyr","núcleo SN°4, cuenca de Tarfaya","cicloestratigrafía de NGR y δ13Corg","otros registros dan límites distintos","inferido","S459 resumen; §3.5","C-1631"
"duración de excursión positiva δ13C de OAE2","aproximadamente 790","kyr","núcleo SN°4, cuenca de Tarfaya","cicloestratigrafía; incluida recuperación","aproximadamente 360 kyr sin recuperación","inferido","S459 §3.5","C-1632"
"duraciones de inicio, pico, meseta y recuperación de OAE1a","aproximadamente 390; 600; 1.340; 380","kyr","núcleos LB3–LB1, La Bédoule","cicloestratigrafía de NGR, XRF y δ13C","fases dependen de puntos de cambio","inferido","S459 resumen; §§3.4 y 3.6","C-1633"
"edad de origen de cuerpos esferoidales de Rhopalodiaceae","aproximadamente 12","Ma","Rhopalodiaceae","filogenias de hospedador y simbionte; información fósil","aproximada","inferido","S454 resumen; fig. 2","C-1637"
"edad de divergencia UCYN-A1–UCYN-A2","aproximadamente 91","Ma","UCYN-A1 y UCYN-A2","reloj relajado bayesiano","la asociación ancestral hacia ese momento es una inferencia; no equivale a fecha directa de captura","inferido","S455 resultados y discusión; fig. 3","C-1061; C-1638–C-1639"
"límite de edad del ancestro común de endosimbiosis muestreadas","menos de 35","Ma","diazoplastos de Epithemia estudiados","filogenómica comparada","límite aplicado al muestreo de S456","inferido","S456 resumen","C-1640"
"genes totales del genoma mitocondrial","100","genes totales","Andalucia godoyi","secuenciación y anotación comparada","incluye genes de RNA","observado","S453 tabla 1","C-1644"
"orígenes mitocondriales por árbol","media 1; mediana 1","orígenes por árbol","eucariotas muestreados por Bremer et al.","PastML F81 sobre árboles de copia única y múltiple","SD 0 y 0.4 según clase","inferido","S79 tabla 2","C-1652"
"orígenes independientes mínimos de hidrogenosomas y mitosomas","al menos 3 y 4","orígenes","eucariotas muestreados en 2010","distribución filogenética y homología organelar","mínimo histórico","inferido","S457 fig. 1","C-1654"
"orígenes de fagocitosis en árboles de copia única","media 5.1; mediana 5","orígenes por árbol","eucariotas muestreados por Bremer et al.","PastML F81","SD 1.65","inferido","S79 tabla 2","C-1657"
"orígenes de fagocitosis en árboles de copias múltiples","media 7.1; mediana 7","orígenes por árbol","eucariotas muestreados por Bremer et al.","PastML F81","SD 4.3","inferido","S79 tabla 2","C-1657"
"linajes multicelulares independientes y tipos","45; 6","linajes; tipos","eucariotas","revisión crítica con criterios funcionales","mínimo declarado por el autor","inferido","S458 resumen; métodos","C-1660"
"instancias por no separación tras división","23","instancias independientes","eucariotas incluidos por Lamża","inventario crítico con criterios funcionales y filogenéticos","categoría operacional; no equivale a todos los orígenes clonales bajo cualquier definición","inferido","S458 tabla 1; tabla 2","C-1606"
"instancias por compartimentación de un plasmodio","9","instancias independientes","eucariotas incluidos por Lamża","inventario crítico: 4 por septación y 5 por plasmotomía","su correspondencia con la ruta cenocítica del corpus es un mapeo editorial","inferido","S458 tabla 1; tabla 2","C-1606"
"instancias agregativas","12","instancias independientes","eucariotas incluidos por Lamża","inventario crítico: 7 pseudoplasmodiales y 5 meroplasmodiales","no equivale al mínimo de al menos 7 orígenes de S445 por diferencias de delimitación","inferido","S458 tabla 1; tabla 2","C-1606"
"instancias por gemación endógena","1","instancia independiente","eucariotas incluidos por Lamża","inventario crítico con criterios funcionales y filogenéticos","queda fuera del triplete clonal–cenocítico–agregativo usado como vista principal","inferido","S458 tabla 1; tabla 2","C-1606"
"apariciones eucariotas en revisiones previas de multicelularidad","al menos 20","apariciones","eucariotas","resumen histórico de la mayoría de revisiones previas en S458","no es el censo independiente de Lamża","inferido","S458 resumen","C-1661"
"orígenes independientes de multicelularidad agregativa","al menos 7","orígenes","eucariotas","revisión de Parfrey y Lahr","dependiente de delimitación","inferido","S445 resumen y discusión","C-1663"
"concentración de O₂ compatible con crecimiento aerobio","igual o inferior a 3","nM O₂","*Escherichia coli* K-12","cultivo continuo y microsensores","límite superior observado; no umbral universal","observado","S461 resumen; resultados","C-838"
"intervalo experimental de O₂ tolerado","0,5–4","% PAL O₂","*Halichondria panicea*","cámaras de flujo y seguimiento de crecimiento","intervalo del experimento; no umbral de todos los animales","observado","S199 conclusión; resultados","C-839"
"pO₂ inferida en paleosuelos","menos de 1","% PAL O₂","mayor parte del registro de paleosuelos compilado","isótopos de Cr y transporte en meteorización","oxidación local anterior posible","inferido","S462 resumen; resultados","C-841"
"extensión mínima de anoxia proterozoica","aprox. 30–40 o más","% del área moderna de fondo marino","océano proterozoico modelado","balance de masa de Mo","normalizado al fondo moderno; no volumen oceánico","inferido","S189 resumen; resultados; fig. 2","C-842"
"extensión de euxinia proterozoica","menos de aprox. 1–10","% del área moderna de fondo marino","océano proterozoico modelado","balance de masa de Mo","normalizado al fondo moderno; no volumen oceánico","inferido","S189 resumen; resultados; fig. 2","C-842"
"intervalo de depósitos glaciares paleoproterozoicos correlacionados","aprox. 2,45–2,22","Ga","glaciaciones huronianas y correlativas","U–Pb de circones en tobas y correlación estratigráfica","episodios discontinuos","inferido","S463 resumen; resultados","C-848"
"episodio glacial final sudafricano","2,26–2,22","Ga","glaciaciones paleoproterozoicas","U–Pb y correlación estratigráfica","intervalo regional","inferido","S463 resumen; resultados","C-848"
"excursión de carbono Shuram","aprox. +4 a −12","‰ δ13Ccarb","Formación Shuram, Omán","quimioestratigrafía de carbonatos","mecanismo y equivalencia global discutidos","observado","S467 resumen; resultados","C-849"
"aparición de formas de *Ichthyophonus* tras exposición oral","24–48","h posexposición","peces expuestos a tejido infectado","histología y observación celular","sistema experimental","observado","S475 resumen","C-937"
"ventana continua de cultivo sanguíneo positivo para *Ichthyophonus*","6–144","h posexposición","peces expuestos a tejido infectado","cultivo de sangre aórtica","positividad intermitente posterior hasta cuatro semanas","observado","S475 resumen","C-938"
"aparición histológica de esquizontes de *Ichthyophonus*","20–25","días posexposición","peces expuestos a tejido infectado","histología","sistema experimental","observado","S475 resumen","C-939"
"temperatura de cultivo de *Corallochytrium limacisporum*","23","°C","cepas Hawaii e India","cultivo axénico en caldo marino","condición del estudio","observado","S476 STAR Methods","C-940"
"frecuencia de fisión binaria de *Corallochytrium*","99","% de eventos observados","*Corallochytrium limacisporum*","microscopía temporal","condiciones de cultivo del estudio","observado","S476 resultados; fig. 4","C-941"
"frecuencia de crecimiento cenocítico de *Corallochytrium*","1","% de eventos observados","*Corallochytrium limacisporum*","microscopía temporal","condiciones de cultivo del estudio","observado","S476 resultados; fig. 4","C-942"
"duración del ciclo de citocinesis binaria de *Corallochytrium*","6","h","*Corallochytrium limacisporum*","microscopía temporal","2 h hasta cariocinesis y 4 h binucleado en el esquema publicado","observado","S476 resultados; fig. 4","C-943"
"núcleos máximos observados en cenocito de *Corallochytrium*","hasta 32","núcleos","*Corallochytrium limacisporum*","microscopía","máximo observado","observado","S476 resultados; fig. 4","C-944"
"tamaño de zoosporas de quítrido","2–5","µm","*Rhizophydium planktonicum*","microscopía y filtración","rango del aislamiento estudiado","observado","S479 métodos","C-950"
"carbono de diatomea transformado en zoosporas","aproximadamente 15","% del carbono de *Asterionella formosa*","floraciones primaverales de 2011 y 2012","qPCR, biovolumen y conversión a carbono","supone que todo el carbono de zoosporas deriva del hospedador","inferido","S479 resumen; discusión","C-951"
"células engullidas con caspasa-3 activa","88 ± 3","%","células Jurkat engullidas por *Entamoeba histolytica*","inmunodetección y recuento celular","media ± dispersión publicada","observado","S471 resultados; figs. 1–3","C-952"
"amebas que ingirieron células apoptóticas","62 ± 7","% de amebas","*Entamoeba histolytica* con Jurkat apoptóticas","ensayo celular","media ± dispersión publicada","observado","S471 resultados; figs. 1–3","C-953"
"amebas que ingirieron células sanas","30 ± 9","% de amebas","*Entamoeba histolytica* con Jurkat sanas","ensayo celular","media ± dispersión publicada","observado","S471 resultados; figs. 1–3","C-953"
"diámetro de células flageladas","7–14","µm","*Syssomonas multiformis*","microscopía","rango observado","observado","S132 resultados; fig. 2","C-956"
"ingestión de Choanoflagellida ambiental","0–3,1","bacterias individuo⁻¹ h⁻¹","epilimnion del lago Annecy","microesferas fluorescentes","variación estacional y taxonómica","observado","S477 tabla 1","C-957"
"diámetro de microesferas trazadoras","0,5","µm","ensayo de ingestión del lago Annecy","microesferas fluorescentes","media bacteriana 0,7 ± 0,28 µm","observado","S477 métodos","C-957"
"incubación del ensayo de ingestión","15","min","ensayo de ingestión del lago Annecy","incubación duplicada","seleccionada tras cinética preliminar","observado","S477 métodos","C-957"
"genoma de Mimivirus","1.181.404","bp","*Acanthamoeba polyphaga mimivirus*","secuenciación","aislamiento publicado","observado","S472 resumen; resultados","C-959"
"ORF putativos de Mimivirus","1.262","ORF putativos","*Acanthamoeba polyphaga mimivirus*","anotación genómica","dependiente de anotación","observado","S472 resumen; resultados","C-960"
"tamaño de partícula de Mimivirus","aproximadamente 400","nm","*Acanthamoeba polyphaga mimivirus*","microscopía","aproximado","observado","S472 resumen; resultados","C-961"
"tamaño máximo de genoma de pandoravirus","hasta 2,5","Mb","dos pandoravirus secuenciados","secuenciación","máximo del muestreo, no del clado","observado","S473 resumen; resultados","C-962"
"genoma de Medusavirus","381","kb","Medusavirus","secuenciación","aislamiento publicado","observado","S222 resumen; resultados","C-963"
"proteínas putativas de Medusavirus","461","proteínas","Medusavirus","anotación genómica","dependiente de anotación","observado","S222 resumen; resultados","C-964"
"tamaño de cápside de Medusavirus","aproximadamente 260","nm","Medusavirus","microscopía","aproximado","observado","S222 resumen; resultados","C-965"
"tamaño de partícula de *Pithovirus sibericum*","aproximadamente 1,5","µm","*Pithovirus sibericum*","microscopía","aproximado","observado","S474 resumen; resultados","C-966"
"genoma de *Pithovirus sibericum*","aproximadamente 610","kbp","*Pithovirus sibericum*","secuenciación","aproximado","observado","S474 resumen; resultados","C-967"
"latencia hasta el inicio de agregación","en minutos","escala temporal publicada sin cifra más precisa","*Choanoeca flexa* disociada","videomicroscopía","sin cifra numérica más precisa en el pasaje localizado","observado","S424 fig. 2c–d; §C. flexa sheets can form by aggregation","C-1499"
"latencia de retracción de filopodios","en segundos","escala temporal publicada sin cifra más precisa","*Capsaspora owczarzaki* expuesta a lípidos activos","imagen temporal","sin cifra numérica más precisa en el pasaje localizado","observado","S428 resultados de imagen temporal","C-1529"
"búsquedas negativas activas","68","filas","registro canónico de búsquedas negativas","recuento de CSV","sin incertidumbre","observado","registro canónico","C-1931"
"búsquedas con ausencia declarada","12","filas","registro canónico de búsquedas negativas","recuento de CSV","sin incertidumbre","observado","registro canónico","C-1932"
"búsquedas sin resultado localizado","56","filas","registro canónico de búsquedas negativas","recuento de CSV","sin incertidumbre","observado","registro canónico","C-1933"
"búsquedas activas no buscadas","0","filas","registro canónico de búsquedas negativas","recuento de CSV","sin incertidumbre","observado","registro canónico","C-1934"
"temperatura reconstruida del agua marina local","26,9 ± 0,4","°C","calizas de la Formación Xiamaling, ~1,36 Ga","termometría de isótopos agrupados","incertidumbre publicada; reconstrucción local, no media global","inferido","S501 resumen; resultados","C-827"
"extensión de fondo marino bajo agua oxigenada","más de 54","% del área del fondo marino","Miembro III de Gaoyuzhuang, ~1,57 Ga","balance de masas revisado con isótopos de Mo","área modelada; no volumen, profundidad ni partición cerrada","inferido","S503 resumen; modelo","C-813"
"menor concentración activa de EroS ensayada","5","pM","inducción de apareamiento de *Salpingoeca rosetta*","ensayo dosis–respuesta","menor dosis activa probada; no EC50 ni umbral universal","observado","S203 resultados; fig. 2","C-865; C-1416"
